"created_at";"modified_at";"id";"city";"city_desc";"state";"state_desc";"state_kra_code";"ucc_state_code";"idirect_state_code";"bse_code"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1865;"JAINTIA HILLS";"JAINTIA HILLS";"MEGHALAYA";"MEGHALAYA";"17";"19";"MEGHALAYA";"ME"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1866;"GAJWEL";"GAJWEL";"TELANGANA";"TELANGANA";"37";"28";"TELANGANA";"TG"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1867;"JHARGRAM";"JHARGRAM";"WEST BENGAL";"WEST BENGAL";"19";"33";"WEST BENGAL";"WB"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1868;"AVALURPET";"AVALURPET";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1869;"BACHRA";"BACHRA";"JHARKHAND";"JHARKHAND";"20";"13";"JHARKHAND";"JK"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1870;"BAHADURGANJ";"BAHADURGANJ";"BIHAR";"BIHAR";"10";"5";"BIHAR";"BH"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1871;"BAKEWAR";"BAKEWAR";"UTTAR PRADESH";"UTTAR PRADESH";"9";"31";"UTTAR PRADESH";"UP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1872;"BALDWARA";"BALDWARA";"HIMACHAL PRADESH";"HIMACHAL PRADESH";"2";"11";"HIMACHAL PRADESH";"HP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1873;"BALKUNJE";"BALKUNJE";"KARNATAKA";"KARNATAKA";"29";"14";"KARNATAKA";"KA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1874;"BANDA BELAI";"BANDA BELAI";"MADHYA PRADESH";"MADHYA PRADESH";"23";"16";"MADHYA PRADESH";"MP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1875;"BANKODA";"BANKODA";"RAJASTHAN";"RAJASTHAN";"8";"26";"RAJASTHAN";"RA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1876;"BARHI";"BARHI";"JHARKHAND";"JHARKHAND";"20";"13";"JHARKHAND";"JK"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1877;"BAUNSI";"BAUNSI";"BIHAR";"BIHAR";"10";"5";"BIHAR";"BH"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1878;"PIMPRI";"PIMPRI";"MAHARASHTRA";"MAHARASHTRA";"27";"17";"MAHARASHTRA";"MA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1879;"BENGABAD";"BENGABAD";"JHARKHAND";"JHARKHAND";"20";"13";"JHARKHAND";"JK"
